CAT CODE;KAZ;
Car goods;Автотауарлар;
Fashion accessories;Аксессуарлар;
Pharmacy;Дәрі-дәрмек;
Home equipment;Тұрмыс техникасы;
Child goods;Балаларға арналған тауарлар;
Leisure;Ермек қылатын нәрселер, кітаптар;
Office and school supplies;Кеңсе тауарлары;
Computers;Компьютерлер;
Beauty care;Сұлулық пен денсаулық;
Furniture;Жиһаз;
Shoes;Аяқ киім;
Fashion;Киім-кешек;
Gifts and party supplies;Сыйлықтар, мерекеге арналған тауарлар;
Food;Азық-түлік;
Sports and outdoors;Спорт, туризм;
Construction and repair;Құрылыс, үй жөндеу;
TV_Audio;ТВ, Аудио, Видео;
Smartphones and gadgets;Телефондар мен гаджеттер;
Home;Үй мен саяжайға арналған тауарлар;
Pet goods;Жануарларға арналған тауарлар;
Jewelry and Bijouterie;Әшекейлер;
Car accessories;Автокөліктің керек-жарағы;
Car audio;Автокөліктегі акустика;
Replacement parts;Автокөлік саймандары;
Auto repair tools;Автокөлік құрал-жабдықтары;
Automotive equipments;Автокөлік жабдықтары;
Car lighting;Автокөліктегі жарық шамдары;
Car anti-theft devices;Автокөлікті ұрылардан қорғайтын құрылғылар;
Car service equipment;Автосервис жабдықтары;
Car chemistry and car care products;Автохимия және автокосметика;
Car electronics;Автокөліктегі электроника;
Car batteries;Аккумуляторы;
Luggage systems;Жүксалғыш жүйелері;
GBO;ГБО;
Protection and exterior tuning;Қорғаныш және сыртқы тюнинг;
Rims;Диск жинақтары;
Oils and technical fluids;Май және техникалық сұйықтар;
Motorcycle gear;Мотоциклшілердің киім-кешегі;
Specialty vehicles and mototechnics;Арнайы және мототехника;
Tires;Дөңгелектер;
Hair accessories;Шашқа арналған керек-жарақ;
Clothing accessories;Киім-кешек пен аяқ киімнің керек-жарағы;
Accessories;Қолшатыр, кілт салпыншағы, портсигар;
Fashion accessory sets;Керек-жарақ жиынтықтары;
Fashion glasses and accessories;Көзәйнек пен керек-жарағы;
Wedding accessories;Үйлену тойының керек-жарағы;
Travel gear;Сөмке, шабадан, әмиян;
Watches;Сағат;
Hats and scarves;Бас киім, бөкебай, қолғап-биялай;
Vitamins;Дәрумендер мен ББҚ;
Diagnostic tests;Диагностикалық тест;
Medications;Дәрі-дәрмек;
Dentistry;Ем-дәм мен емдік шөптер;
Hygiene;Жеке бас гигиенасы;
Consumables;Маска, бинт, шприц;
Medical equipment;Медицина жабдықтары;
Medical devices and massagers;Медициналық техника;
Lenses glasses accessories;Оптика;
Orthopedics;Ортопедия;
Rehabilitation;Оңалту;
Laboratory equipment;Арнайы жабдық;
Patient care;Науқастарға күтім;
Climate equipment;Климат техникасы;
Big home appliances;Үйге арналған ірі техника;
Small home appliances;Үйге арналған шағын техника;
Kitchen appliances;Асүйге арналған шағып техника;
Vending machines;Сауда автоматтары;
Subscriptions for children;Балаларға арналған ойын-сауық орталықтарына абонементтер;
Childrens transport;Балалар көлігі;
Baby feeding;Балалар тағамдары;
Baby care;Сәби мен анасына арналған тауарлар;
Playground;Ойын алаңы;
Toys;Ойыншық;
Baby strolls and trips;Серуен мен сапар;
Attractions for indoors;Ғимараттың ішінде тұратын аттракциондар;
Fortune telling and esoteric;Бал ашу және эзотерика;
Party games;Топ болып ойнайтын ойындар;
Books;Кітаптар;
CDs and vinyl;Музыка жазылған дискілер мен пластинкалар;
Musical instruments;Музыка аспаптары;
Optical instruments;Оптические приборы;
Hobbies and crafts;Өнер және хобби;
Paper products;Қағаз және қағаз өнімдері;
Demonstration boards;Демонстрационные доски;
Small office supplies;Кеңсенің майда-шүйде заттары;
Office supplies;Кеңсенің керек-жарағы;
Writing Supplies;Жазу керек-жарағы;
Post-press tools;Баспадан кейінгі құрал-жабдық;
Trade supplies;Сауда мен жарнаманың керек-жарағы;
Equipment for study;Сауда мен жарнаманың керек-жарағы;
Drawing supplies;Сызу керек-жарағы;
School supplies;Оқушының керек-жарағы;
Stamp accessories;Мөр басатын керек-жарақ;
Hardware;Қосалқы жабдықтар;
Desktop computers;Настольные Компьютерлер;
Notebooks and accessories;Ноутбуктар мен олардың керек-жарағы;
Office equipment and consumables;Кеңсе техникасы және жұмсалатын материалдар;
Peripherals;Компьютер жабдықтары;
Tablets and accessories;Планшеттер мен олардың керек-жарағы;
Network hardware;Желі жабдықтары;
Electronic equipment for trade;Сауда орындарының электрондық жабдықтары;
Tools and accessories;Сұлулыққа арналған керек-жарақ;
Decorative cosmetics;Бет бояуы;
Skin care sets;Бет бояуы мен бет күтіміне арналған косметика жинақтары;
Shaving and hair removal;Депиляция мен эпиляция;
Nail care;Маникюр мен педикюрдің керек-жарағы;
Hair styling and care tools;Шаш сәндеуге, күтім жасауға және шаш өсіруге керек аспаптар ;
Hair styling and care tools;Шаш сәндеуге, күтім жасауға және шаш өсіруге керек аспаптар;
Cosmetics and accessories for eyebrows and eyelashes;Қас пен кірпікке арналған косметика мен керек-жарақ;
Massagers;Массажер, массаж жасайтын орындықтар мен миостимуляторлар;
Beauty salon equipment;Сұлулық салондарына арналған жиһаз бен жабдықтар;
Perfumes;Парфюмерия;
Beauty care equipment;Сұлулыққа арналған техника мен құрал-жабдық;
Products for aromatherapy;Ароматерапияға арналған тауарлар;
Shaving products;Қырынуға арналған тауарлар;
Products for tattoos and permanent makeup;Татуаж бен перманент макияжға арналған тауарлар;
Hair care;Шаш күтімі;
Skin care;Бет күтімі;
Oral care;Ауыз қуысы күтімі;
Body care;Бой күтімі;
Bathroom;Жуынатын бөлме;
Living room;Қонақ бөлме;
Children room;Балалар бөлмесі;
Kitchen;Асүй;
Office;Кеңсе мен кабинет;
Entrance hall;Кіреберіс бөлме;
Storage systems and shelves;Зат сақтау жүйелері, сөрелер мен қабат сөрелер;
Bedroom;Жатын бөлме;
Trade software;Сауда жабдықтары;
Fittings and components for furniture;Жиһаз фурнитурасы мен қосалқы жабдықтары;
Women shoes;Әйелдердің аяқ киімі;
Men shoes;Ерлердің аяқ киімі;
Girl shoes;Қыздардың аяқ киімі;
Boy shoes;Ұлдардың аяқ киімі;
Girl fashion;Қыз балаларға;
Women fashion;Әйелдерге;
Boy fashion;Ұл балаларға;
Men fashion;Ерлерге;
Newborn clothing;Нәрестелерге арналған киім-кешек;
Carnival accessories;Карнавал костюмдері, сауық кешінің керек-жарағы;
New year decor;Жаңа жылға арналған тауарлар;
Gifts;Сыйлықтар;
Gift wrapping supplies;Сыйлық қаптамалары;
Souvenirs;Кәдесый бұйымдары;
Holiday decorations;Мерекені әрлеу бұйымдары;
Flowers and bouquets;Гүл және гүл шоқтары;
Alcohol;Ішімдік;
Everything for baking;Нан-тоқаш пісіруге керек-жарақ;
Ready meal;Дайын ас;
Frozen foods;Мұздатылған өнімдер, балмұздақ;
Sausages and meat delicacies;Шұжық, деликатестер;
Canned goods;Консерві жабуға керек-жарақ;
Grains and pasta;Дақылдар, үлпектер, макарон;
Spices and seasoning;Май, тұздықтар;
Dairy and eggs;Сүт өнімдері, жұмыртқа;
Meat and poultry;Мал еті мен құс еті;
Fruits and vegetables;Жеміс, көкөніс, жидек, саңырауқұлақ;
Food grade preservatives antioxidants;Тағамға арналған консерванттар, антиоксиданттар;
Seafood;Балық, теңіз өнімдері;
Sugar salt spices;Қант және қант алмастырғыш, тұз, дәмдеуіштер;
Pastry;Тәттілер мен піспенан;
Soy vegetable meat sausages sausages;Соя еті, өсімдік тектес ет, шұжық, ірімшік;
Water and beverages;Шырын, су, сусын;
Freeze dried food on a camping trip;Туристерге арналған сублимацияланған азық;
Bread and bakery;Нан өнімдері;
Tea and coffee;Шай, кофе, какао;
Chips and nuts;Чипстер, жаңғақтар, снэктер;
Climbing equipment;Альпинизм және құзға өрлеу;
Boxing and martial arts;Бокс және жекпе-жек;
Cycling;Велоспорт;
Water sports;Судағы спорт;
Winter sports;Қысқы спорт;
Equestrian equipment;Ат спорты;
Track and field;Жеңіл атлетика;
Powerlifting;Пауэрлифтинг;
Roller skating;Ролик коньки мен шаңғы роллер;
Outdoor;Самокат, гироскутер, монодөңгелек;
Sports protection;Спортшылардың қорғаныш бұйымдары мен арнайы киімі;
Sports clothing;Спортқа арналған киім-кешек пен аяқ киім;
Sports nutrition;Спортшылардың тағамдары;
Leisure sports;Спорт ойындары;
Yoga goods;Йогаға арналған тауарлар;
Hunting equipment;Аңшылық пен саятшылыққа арналған тауарлар;
Fishing equipment;Балықшылардың керек-жарағы;
Self-defense goods;Өзін-өзі қорғауға арналған тауарлар;
Fitness;Фитнеске арналған тауарлар;
Exercise and fitness;Тренажерлар;
Camping and hiking;Туризм және табиғат аясындағы сейіл;
Rhythmic gymnastics and dance;Көркем гимнастика және би;
Gates and barriers;Қақпа мен қоршау;
Doors;Есік-терезе;
Power tools;Құрал-сайман;
Decoration materials;Әрлеуші материалдар;
Plumbing;Сантехника;
Security systems;Қауіпсіздік жүйелері;
Heating equipment;Жылыту және желдету жүйелері;
