CAT CODE;RUS;KAZ;LEVEL;
Car goods;Автотовары;Автотауарлар;1;
Fashion accessories;Аксессуары;Аксессуарлар;1;
Pharmacy;Аптека;Д_рі-д_рмек;1;
Home equipment;Бытовая техника;Т_рмыс техникасы;1;
Child goods;Детские товары;Балалар_а арнал_ан тауарлар;1;
Leisure;Досуг, книги;Ермек _ылатын н_рселер, кітаптар;1;
Office and school supplies;Канцелярские товары;Ке_се тауарлары;1;
Computers;Компьютеры;Компьютерлер;1;
Beauty care;Красота и здоровье;С_лулы_ пен денсаулы_;1;
Furniture;Мебель;Жи_аз;1;
Shoes;Обувь;Ая_ киім;1;
Fashion;Одежда;Киім-кешек;1;
Gifts and party supplies;Подарки, товары для праздников;Сыйлы_тар, мерекеге арнал_ан тауарлар;1;
Food;Продукты питания;Азы_-т_лік;1;
Sports and outdoors;Спорт, туризм;Спорт, туризм;1;
Construction and repair;Строительство, ремонт;__рылыс, _й ж_ндеу;1;
TV_Audio;ТВ, Аудио, Видео;ТВ, Аудио, Видео;1;
Smartphones and gadgets;Телефоны и гаджеты;Телефондар мен гаджеттер;1;
Home;Товары для дома и дачи;_й мен саяжай_а арнал_ан тауарлар;1;
Pet goods;Товары для животных;Жануарлар_а арнал_ан тауарлар;1;
Jewelry and Bijouterie;Украшения;_шекейлер;1;
Car accessories;Автоаксессуары;Авток_лікті_ керек-жара_ы;2;
Car audio;Автоакустика;Авток_ліктегі акустика;2;
Replacement parts;Автозапчасти;Авток_лік саймандары;2;
Auto repair tools;Автоинструменты;Авток_лік __рал-жабды_тары;2;
Automotive equipments;Автомобильное оборудование;Авток_лік жабды_тары;2;
Car lighting;Автомобильное освещение;Авток_ліктегі жары_ шамдары;2;
Car anti-theft devices;Автомобильные противоугонные устройства;Авток_лікті _рылардан _ор_айтын __рыл_ылар;2;
Car service equipment;Автосервисное оборудование;Автосервис жабды_тары;2;
Car chemistry and car care products;Автохимия и автокосметика;Автохимия ж_не автокосметика;2;
Car electronics;Автоэлектроника;Авток_ліктегі электроника;2;
Car batteries;Аккумуляторы;Аккумуляторы;2;
Luggage systems;Багажные системы;Ж_ксал_ыш ж_йелері;2;
GBO;ГБО;ГБО;2;
Protection and exterior tuning;Защита и внешний тюнинг;_ор_аныш ж_не сырт_ы тюнинг;2;
Rims;Комплекты дисков;Диск жина_тары;2;
Oils and technical fluids;Масла и технические жидкости;Май ж_не техникалы_ с_йы_тар;2;
